tic,indicator,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
APTK,CAPEX/Выручка,,,,,,,,5.5306,,,,,
APTK,NetDebt/EBITDA,,,,,,,,34.6992,,,,,
APTK,Долг/EBITDA,,,,,,,,35.61,,,,,
APTK,ROE,,,,,,,,35.92,,,,,
APTK,ROA,,,,,,,,-25.94,,,,,
APTK,Return on Sales,,,,,,,,-11.55,,,,,
APTK,ROIC,,,,6.32,-51.5,-32.01,-119.58,-17.25,,,,,
APTK,ROCE,,,,,,,,-65.9787,,,,,
APTK,Net Margin,,,,,,,,-23.1683,,,,,
APTK,Операционная маржа,,,,3.211,-19.0132,-9.8398,-10.9104,-3.0199,,,,,
APTK,EBITDA рентабельность,,,,,,,,2.549,,,,,
APTK,Тек. ливкидность,,,,,,,,0.5426,,,,,
AQUA,P/E,,,,,,,,6.77,7.37,,,,
AQUA,P/B,,,,,,,,2.43,1.95,,,,
AQUA,P/S,,,,,,,,2.51,2.75,,,,
AQUA,P/CF,,,,,,,,8.93,45.52,,,,
AQUA,P/FCF,,,,,699.0,6.25,,,,,,,
AQUA,EV/S,,,,,,,,2.97,3.48,,,,
AQUA,EV/EBITDA,,,,,,,,7.6,7.45,,,,
AQUA,EV/EBIT,,,,,,,,8.7074,8.5496,,,,
AQUA,Коэффициент долга,,,,,,,,0.35,0.41,,,,
AQUA,D/E,,,,,,,,0.5484,0.6863,,,,
AQUA,CAPEX/Выручка,,,,,,,,28.8339,22.0733,,,,
AQUA,NetDebt/EBITDA,,,,,,,,1.1769,1.565,,,,
AQUA,Долг/EBITDA,,,,,,,,1.2,1.73,,,,
AQUA,ROE,,,,,,,,35.94,26.41,,,,
AQUA,ROA,,,,,,,,23.21,15.66,,,,
AQUA,Return on Sales,,,,,,,,34.06,40.73,,,,
AQUA,ROCE,,,,,,,,26.9083,25.1179,,,,
AQUA,Net Margin,,,,,,,,37.0296,37.34,,,,
AQUA,EBITDA рентабельность,,,,,,,,39.0075,46.7168,,,,
AQUA,Тек. ливкидность,,,,,,,,2.9195,1.9747,,,,
ASTR,P/E,,,,,,,,,,,,29.9,
ASTR,P/B,,,,,,,,,,,,25.04,
ASTR,P/S,,,,,,,,,,,,11.09,
ASTR,P/CF,,,,,,,,,,,,30.68,
ASTR,P/FCF,,,,,,,,,,,,34.81,
ASTR,EV/S,,,,,,,,,,,18.13,11.1,
ASTR,EV/EBITDA,,,,,,,,,,,33.11,25.49,
ASTR,EV/EBIT,,,,,,,,,,,35.6594,32.5683,
ASTR,Коэффициент долга,,,,,,,,,,,0.76,0.61,
ASTR,D/E,,,,,,,,,,,3.17,1.5952,
ASTR,CAPEX/Выручка,,,,,,,,,,,4.1387,4.2827,
ASTR,NetDebt/EBITDA,,,,,,,,,,,-0.0279,0.0227,
ASTR,Долг/EBITDA,,,,,,,,,,,0.21,0.66,
ASTR,ROE,,,,,,,,,,,210.15,76.46,
ASTR,ROA,,,,,,,,,,,50.39,29.46,
ASTR,Return on Sales,,,,,,,,,,,50.85,34.08,
ASTR,ROIC,,,,,,,,,,,100.64,51.04,
ASTR,ROCE,,,,,,,,,,,99.635,40.5901,
ASTR,Net Margin,,,,,,,,,,,56.9796,38.1353,
ASTR,Операционная маржа,,,,,,,,,,,51.8386,42.8521,
ASTR,EBITDA рентабельность,,,,,,,,,,,54.7581,43.5509,
ASTR,Тек. ливкидность,,,,,,,,,,,1.2503,1.7195,
BANE,P/E,,,,,,,3.36,4.41,-25.21,2.76,,,
BANE,P/B,,,,,,,0.73,0.67,0.59,0.41,,,
BANE,P/S,,,,,,,0.38,0.4,0.53,0.27,,,
BANE,P/CF,,,,,,,2.5,3.9,4.38,3.35,,,
BANE,P/FCF,,,,,,9.62,4.13,13.92,,40.04,,,
BANE,EV/S,,,,,,0.7,0.47,0.5,0.74,0.41,,,
BANE,EV/EBITDA,,,,,,1.97,2.17,2.71,9.63,2.31,,,
BANE,EV/EBIT,,,,,,2.4774,3.0427,3.976,-125.391,3.2225,,,
BANE,Коэффициент долга,,,,,,,0.4,0.38,0.4,0.39,,,
BANE,D/E,,,,,,,0.6669,0.618,0.6738,0.6487,,,
BANE,CAPEX/Выручка,,,,,,,6.046,7.287,12.4646,7.3953,,,
BANE,NetDebt/EBITDA,,,,,,0.4076,0.3803,0.5651,2.771,0.7965,,,
BANE,Долг/EBITDA,,,,,,0.51,0.67,0.76,3.16,0.85,,,
BANE,ROE,,,,,,,21.52,15.31,-2.66,15.28,,,
BANE,ROA,,,,,,,12.91,9.46,-1.59,9.27,,,
BANE,Return on Sales,,,,,,,15.3,12.57,-0.59,12.78,,,
BANE,ROIC,,,,,,,14.53,13.48,-1.53,12.93,,,
BANE,ROCE,,,,,,,20.2051,15.837,-0.4523,14.2571,,,
BANE,Net Margin,,,,,,,11.2825,8.9838,-2.3468,9.9724,,,
BANE,Операционная маржа,,,,,,,13.8599,13.6385,-2.0961,13.414,,,
BANE,EBITDA рентабельность,,,,,,,21.417,18.4578,7.6721,17.8289,,,
BANE,Тек. ливкидность,,,,,,,2.7142,2.1296,2.2815,2.2478,,,
BANEP,P/E,,,,,,,3.36,4.41,-25.21,2.76,,,
BANEP,P/B,,,,,,,0.73,0.67,0.59,0.41,,,
BANEP,P/S,,,,,,,0.38,0.4,0.53,0.27,,,
BANEP,P/CF,,,,,,,2.5,3.9,4.38,3.35,,,
BANEP,P/FCF,,,,,,9.62,4.13,13.92,,40.04,,,
BANEP,EV/S,,,,,,0.7,0.47,0.5,0.74,0.41,,,
BANEP,EV/EBITDA,,,,,,1.97,2.17,2.71,9.63,2.31,,,
BANEP,EV/EBIT,,,,,,2.4774,3.0427,3.976,-125.391,3.2225,,,
BANEP,Коэффициент долга,,,,,,,0.4,0.38,0.4,0.39,,,
BANEP,D/E,,,,,,,0.6669,0.618,0.6738,0.6487,,,
BANEP,CAPEX/Выручка,,,,,,,6.046,7.287,12.4646,7.3953,,,
BANEP,NetDebt/EBITDA,,,,,,0.4076,0.3803,0.5651,2.771,0.7965,,,
BANEP,Долг/EBITDA,,,,,,0.51,0.67,0.76,3.16,0.85,,,
BANEP,ROE,,,,,,,21.52,15.31,-2.66,15.28,,,
BANEP,ROA,,,,,,,12.91,9.46,-1.59,9.27,,,
BANEP,Return on Sales,,,,,,,15.3,12.57,-0.59,12.78,,,
BANEP,ROIC,,,,,,,14.53,13.48,-1.53,12.93,,,
BANEP,ROCE,,,,,,,20.2051,15.837,-0.4523,14.2571,,,
BANEP,Net Margin,,,,,,,11.2825,8.9838,-2.3468,9.9724,,,
BANEP,Операционная маржа,,,,,,,13.8599,13.6385,-2.0961,13.414,,,
BANEP,EBITDA рентабельность,,,,,,,21.417,18.4578,7.6721,17.8289,,,
BANEP,Тек. ливкидность,,,,,,,2.7142,2.1296,2.2815,2.2478,,,
BELU,P/E,,,,,,,,10.35,8.94,13.89,5.2,10.54,
BELU,P/B,,,,,,,,0.74,1.1,2.06,1.75,3.22,
BELU,P/S,,,,,,,,0.18,0.35,0.71,0.45,0.72,
BELU,P/CF,,,,,,,,7.58,3.6,6.2,7.13,12.56,
BELU,P/FCF,,,,,,,,74.5,4.35,7.27,15.91,22.54,
BELU,EV/S,,,,,,,,0.37,0.54,0.89,0.71,1.0,
BELU,EV/EBITDA,,,,,,,,4.26,3.74,6.39,3.96,6.05,
BELU,EV/EBIT,,,,,,,,6.2683,5.0299,9.3711,4.8432,8.5519,
BELU,Коэффициент долга,,,,,,,,0.65,0.68,0.67,0.73,0.72,
BELU,D/E,,,,,,,,1.8667,2.1226,2.0091,2.6685,2.6186,
BELU,CAPEX/Выручка,,,,,,,,2.1744,1.6685,3.0946,3.4845,2.5512,
BELU,NetDebt/EBITDA,,,,,,,,2.1236,1.3473,1.3218,1.4307,1.665,
BELU,Долг/EBITDA,,,,,,,,2.29,1.88,1.57,1.47,0.91,
BELU,ROE,,,,,,,,7.15,12.09,14.8,33.25,30.32,
BELU,ROA,,,,,,,,2.5,3.87,4.92,9.06,8.38,
BELU,Return on Sales,,,,,,,,5.84,10.81,9.54,14.57,11.68,
BELU,ROIC,,,,,,,,8.44,11.8,13.02,18.99,19.89,
BELU,ROCE,,,,,,,,12.163,17.1629,15.8388,26.0169,24.4456,
BELU,Net Margin,,,,,,,,1.8771,3.8852,5.1523,8.6748,6.8989,
BELU,Операционная маржа,,,,,,,,5.8381,10.8102,10.3313,13.4151,11.9208,
BELU,EBITDA рентабельность,,,,,,,,8.5928,14.5469,13.9944,17.8347,16.4978,
BELU,Тек. ливкидность,,,,,,,,1.3457,1.4868,1.3314,1.4527,1.3327,
BLNG,P/FCF,7.37,,,22.94,10.11,,,,,,,,
BLNG,Коэффициент долга,,,0.58,0.47,0.44,,,,,,,,
BLNG,NetDebt/EBITDA,,-0.5999,-18.7233,1.2302,,,,,,,,,
BLNG,Долг/EBITDA,1.64,-0.6,-18.73,1.23,,,,,,,,,
BLNG,ROIC,,,-9.06,5.32,-49.77,,,,,,,,
BSPB,P/FCF,4.72,,0.56,0.61,,,,,,,,,
CARM,P/E,,,,,,,,,,,,9.02,
CARM,P/B,,,,,,,,,,,,1.32,
CARM,P/S,,,,,,,,,,,,2.41,
CARM,P/CF,,,,,,,,,,,,28.37,
CARM,Коэффициент долга,,,,,,,,,,,0.59,0.41,
CARM,D/E,,,,,,,,,,,1.4523,0.7083,
CARM,CAPEX/Выручка,,,,,,,,,,,2.5967,24.172,
CARM,ROE,,,,,,,,,,,18.19,14.6,
CARM,ROA,,,,,,,,,,,7.42,8.55,
CARM,Net Margin,,,,,,,,,,,26.1784,26.6978,
CBOM,P/E,,,,,,,,14.67,6.11,,,,
CBOM,P/B,,,,,,,,0.83,0.78,,,,
CBOM,P/S,,,,,,,,2.89,2.23,,,,
CBOM,P/CF,,,,,,0.27,0.47,-0.75,-0.97,,,,
CBOM,P/FCF,,,,,0.52,0.27,0.47,,,,,,
CBOM,Коэффициент долга,,,,,,,,0.91,0.92,,,,
CBOM,D/E,,,,,,,,10.5168,11.4372,,,,
CBOM,CAPEX/Выручка,,,,,,3.2571,1.9894,2.4901,0.9081,,,,
CBOM,ROE,,,,,,,,5.68,12.8,,,,
CBOM,ROA,,,,,,,,0.49,1.03,,,,
CBOM,Net Margin,,,,,,,,19.7047,36.5772,,,,
CHMF,P/E,,,,,,,,6.9,14.88,4.44,6.97,6.04,
CHMF,P/B,,,,,,,,3.68,5.51,4.27,1.77,1.91,
CHMF,P/S,,,,,,,,1.49,2.24,1.56,1.11,1.61,
CHMF,P/CF,,,,,,,,5.3,7.15,3.87,3.46,6.54,
CHMF,P/FCF,,,,,,,,11.25,18.5,5.14,4.81,9.77,
CHMF,EV/S,,,,,,,,1.68,2.55,1.68,0.98,1.32,
CHMF,EV/EBITDA,,,,,,,,4.84,9.14,3.42,3.12,3.67,
CHMF,EV/EBIT,,,,,,,,5.7915,12.0294,3.7858,4.7826,3.9717,
CHMF,Коэффициент долга,,,,,,,,0.58,0.41,0.51,0.41,0.38,
CHMF,D/E,,,,,,,,1.3643,1.1186,1.0598,0.7041,0.6195,
CHMF,CAPEX/Выручка,,,,,,,,14.879,19.2583,9.9579,9.9483,9.9722,
CHMF,NetDebt/EBITDA,,,,,,,,0.5315,1.0873,0.2474,-0.3949,-0.8026,
CHMF,Долг/EBITDA,,,,,,,,0.9,1.4,0.32,0.47,0.62,
CHMF,ROE,,,,,,,,53.12,36.82,95.83,25.3,31.58,
CHMF,ROA,,,,,,,,22.47,13.66,46.53,14.85,19.5,
CHMF,Return on Sales,,,,,,,,28.97,21.17,44.31,20.52,33.23,
CHMF,ROIC,,,,,,,,29.02,26.23,71.58,23.85,25.35,
CHMF,ROCE,,,,,,,,37.2207,19.6701,84.3998,24.2322,33.8583,
CHMF,Net Margin,,,,,,,,21.6695,15.0826,35.0227,15.8834,26.6197,
CHMF,Операционная маржа,,,,,,,,28.5301,28.3298,46.3359,25.6251,30.7148,
CHMF,EBITDA рентабельность,,,,,,,,34.6608,27.8637,49.0669,31.4116,36.0049,
CHMF,Тек. ливкидность,,,,,,,,1.9509,11.9412,1.2163,2.2458,2.0369,
CHMK,P/E,,,,,,,,2.03,-17.81,2.27,0.9,7.1,
CHMK,P/B,,,,,,,,0.22,0.24,0.34,0.21,0.48,
CHMK,P/S,,,,,,,,0.07,0.08,0.08,0.07,0.18,
CHMK,P/CF,,,,,,,,0.93,-2.34,325.44,-4.95,1.02,
CHMK,P/FCF,,,,,,,,0.96,,,,1.33,
CHMK,EV/S,,,,,,,,1.4,1.99,1.11,1.08,1.14,
CHMK,EV/EBITDA,,,,,,,,19.28,282.96,13.75,8.04,-11.68,
CHMK,EV/EBIT,,,,,,,,34.6028,-82.7209,18.3216,9.4166,-9.5922,
CHMK,Коэффициент долга,,,,,,,,0.83,0.87,0.83,0.78,0.75,
CHMK,D/E,,,,,,,,4.8102,6.791,4.8689,3.4779,2.9761,
CHMK,CAPEX/Выручка,,,,,,,,0.2397,0.2629,0.7027,1.0687,4.2635,
CHMK,NetDebt/EBITDA,,,,,,,,18.3069,271.913,12.7164,7.527,-9.7997,
CHMK,Долг/EBITDA,,,,,,,,18.36,271.94,13.05,7.54,-9.84,
CHMK,ROE,,,,,,,,10.62,-1.35,15.07,23.02,6.77,
CHMK,ROA,,,,,,,,1.83,-0.17,2.57,5.14,1.7,
CHMK,Return on Sales,,,,,,,,4.06,-2.4,6.05,11.47,-11.93,
CHMK,ROIC,,,,,,,,0.68,9.54,15.65,11.64,9.23,
CHMK,ROCE,,,,,,,,11.4913,-4.1573,20.9407,29.9356,-11.0116,
CHMK,Net Margin,,,,,,,,3.4939,-0.4353,3.6838,7.6679,2.5898,
CHMK,Операционная маржа,,,,,,,,0.273,5.508,6.0741,5.2495,9.9963,
CHMK,EBITDA рентабельность,,,,,,,,7.2865,0.7018,8.0661,13.4364,-9.7979,
CHMK,Тек. ливкидность,,,,,,,,0.327,0.1798,0.5659,0.6689,1.7916,
CIAN,P/E,,,,,,,,,,-25.45,51.93,25.05,
CIAN,P/B,,,,,,,,,,18.78,4.98,5.91,
CIAN,P/S,,,,,,,,,,12.05,3.02,3.66,
CIAN,P/CF,,,,,,,,,,-35.23,12.97,17.52,
CIAN,P/FCF,,,,,,,,,,,13.83,18.55,
CIAN,EV/S,,,,,,,,,19.96,11.65,2.52,3.11,
CIAN,EV/EBITDA,,,,,,,,,-209.69,221.06,21.89,15.78,
CIAN,EV/EBIT,,,,,,,,,-137.134,-25.516,30.5195,17.9611,
CIAN,Коэффициент долга,,,,,,,,,1.64,0.31,0.28,0.3,
CIAN,D/E,,,,,,,,,-2.5711,0.4463,0.3923,0.4345,
CIAN,CAPEX/Выручка,,,,,,,,,2.7946,2.3371,1.4517,1.1581,
CIAN,NetDebt/EBITDA,,,,,,,,,-0.7381,-7.6069,-4.3218,-2.8244,
CIAN,Долг/EBITDA,,,,,,,,,-1.93,,,,
CIAN,ROE,,,,,,,,,71.9,-73.79,9.58,23.58,
CIAN,ROA,,,,,,,,,-45.77,-51.02,6.88,16.44,
CIAN,Return on Sales,,,,,,,,,-14.55,-45.67,8.25,17.3,
CIAN,ROIC,,,,,,,,,-432.18,-67.32,8.84,17.79,
CIAN,ROCE,,,,,,,,,441.221,-65.9091,12.9363,27.0431,
CIAN,Net Margin,,,,,,,,,-15.7855,-47.3562,5.8069,14.6228,
CIAN,Операционная маржа,,,,,,,,,-14.5267,-46.6435,9.0128,15.7117,
CIAN,EBITDA рентабельность,,,,,,,,,-9.5166,5.271,11.505,19.6871,
CIAN,Тек. ливкидность,,,,,,,,,0.4737,2.2746,2.8349,2.5943,
CNTL,P/E,,,,,,,,1.65,,,,,
CNTL,P/B,,,,,,,,1.18,,,,,
CNTL,P/S,,,,,,,,1.78,,,,,
CNTL,P/CF,,,,,,,,-27.47,,,,,
CNTL,P/FCF,,,,,,16.2,5.14,,,,,,
CNTL,EV/S,,,,,,,,1.83,,,,,
CNTL,EV/EBITDA,,,,,,,,1.3,,,,,
CNTL,EV/EBIT,,,,,,,,1.4031,,,,,
CNTL,Коэффициент долга,,,,,,,,0.36,,,,,
CNTL,D/E,,,,,,,,0.5674,,,,,
CNTL,CAPEX/Выручка,,,,,,,,9.3259,,,,,
CNTL,NetDebt/EBITDA,,,,,,,,0.0393,,,,,
CNTL,Долг/EBITDA,,,,1.73,0.59,0.59,,0.04,,,,,
CNTL,ROE,,,,,,,,71.74,,,,,
CNTL,ROA,,,,,,,,45.77,,,,,
CNTL,Return on Sales,,,,,,,,130.69,,,,,
CNTL,ROIC,,,,,,,,64.76,,,,,
CNTL,ROCE,,,,,,,,81.1174,,,,,
CNTL,Net Margin,,,,,,,,107.977,,,,,
CNTL,Операционная маржа,,,,,,,,130.699,,,,,
CNTL,EBITDA рентабельность,,,,,,,,141.116,,,,,
CNTL,Тек. ливкидность,,,,,,,,2.3101,,,,,
CNTLP,P/E,,,,,,,,1.65,,,,,
CNTLP,P/B,,,,,,,,1.18,,,,,
CNTLP,P/S,,,,,,,,1.78,,,,,
CNTLP,P/CF,,,,,,,,-27.47,,,,,
CNTLP,P/FCF,,,,,,16.2,5.14,,,,,,
CNTLP,EV/S,,,,,,,,1.83,,,,,
CNTLP,EV/EBITDA,,,,,,,,1.3,,,,,
CNTLP,EV/EBIT,,,,,,,,1.4031,,,,,
CNTLP,Коэффициент долга,,,,,,,,0.36,,,,,
CNTLP,D/E,,,,,,,,0.5674,,,,,
CNTLP,CAPEX/Выручка,,,,,,,,9.3259,,,,,
CNTLP,NetDebt/EBITDA,,,,,,,,0.0393,,,,,
CNTLP,Долг/EBITDA,,,,1.73,0.59,0.59,,0.04,,,,,
CNTLP,ROE,,,,,,,,71.74,,,,,
CNTLP,ROA,,,,,,,,45.77,,,,,
CNTLP,Return on Sales,,,,,,,,130.69,,,,,
CNTLP,ROIC,,,,,,,,64.76,,,,,
CNTLP,ROCE,,,,,,,,81.1174,,,,,
CNTLP,Net Margin,,,,,,,,107.977,,,,,
CNTLP,Операционная маржа,,,,,,,,130.699,,,,,
CNTLP,EBITDA рентабельность,,,,,,,,141.116,,,,,
CNTLP,Тек. ливкидность,,,,,,,,2.3101,,,,,
DATA,EV/S,,,,,,,,,,,-0.68,4.51,
DATA,EV/EBITDA,,,,,,,,,,,-1.68,10.53,
DATA,EV/EBIT,,,,,,,,,,,-1.7687,10.9637,
DATA,Коэффициент долга,,,,,,,,,,,0.41,0.46,
DATA,D/E,,,,,,,,,,,,-749.294,
